Timestamp,Strategy,Action,Price,Confidence,Profit,Capital
2025-10-04 21:12:54,scalper,OPEN SELL,1055.39,90,0,10000.0
2025-10-04 21:12:56,scalper,OPEN SELL,1055.48,90,0,10000.0
2025-10-04 21:17:19,scalper,CLOSE SELL,1053.97,90,1.345474140000069,10002.7761025
2025-10-04 21:17:20,scalper,CLOSE SELL,1053.97,90,1.4306283599999914,10002.7761025
2025-10-04 21:19:52,scalper,OPEN BUY,1054.27,90,0,10002.7761025
2025-10-04 21:19:54,scalper,OPEN BUY,1054.35,90,0,10002.7761025
2025-10-04 21:20:02,scalper,CLOSE BUY,1054.43,90,0.15180592000007767,10002.92790842
2025-10-04 21:20:04,scalper,OPEN BUY,1054.3,90,0,10002.92790842
2025-10-04 21:23:54,snr_adx,OPEN BUY,1050.5,65,0,10002.92790842
2025-10-04 21:24:03,snr_adx,CLOSE BUY,1050.72,65,0.20948532000002598,10003.13739374
2025-10-05 19:01:52,snr_adx,OPEN BUY,978.43,55,0,10000.0
2025-10-05 19:01:54,snr_adx,OPEN BUY,978.64,55,0,10000.0
2025-10-05 19:01:56,snr_adx,OPEN BUY,978.72,55,0,10000.0
2025-10-05 19:02:08,snr_adx,CLOSE BUY,978.36,55,-0.07154321999993493,9999.92845678
2025-10-05 19:02:08,snr_adx,OPEN BUY,978.36,55,0,9999.92845678
2025-10-05 19:02:52,snr_adx,CLOSE BUY,979.72,55,1.1035720800000417,10002.053771859999
2025-10-05 19:02:52,snr_adx,CLOSE BUY,979.72,55,1.021743,10002.053771859999
2025-10-05 19:02:52,snr_adx,OPEN BUY,979.72,55,0,10002.053771859999
2025-10-05 19:02:54,snr_adx,OPEN BUY,980.27,55,0,10002.053771859999
2025-10-05 19:02:58,snr_adx,CLOSE BUY,980.56,55,0.8575635599999165,10002.911335419998
2025-10-05 19:02:58,snr_adx,OPEN BUY,980.56,55,0,10002.911335419998
2025-10-05 19:03:22,snr_adx,CLOSE BUY,980.45,55,2.1362119900000325,10005.11899465
2025-10-05 19:03:22,snr_adx,CLOSE BUY,980.45,55,0.18366066000006498,10005.11899465
2025-10-05 19:03:22,snr_adx,CLOSE BUY,980.45,55,-0.11221341999989794,10005.11899465
2025-10-05 19:03:22,snr_adx,OPEN BUY,980.45,55,0,10005.11899465
2025-10-05 19:03:24,snr_adx,OPEN BUY,980.8,55,0,10005.11899465
2025-10-05 19:03:26,snr_adx,OPEN BUY,980.42,55,0,10005.11899465
2025-10-05 19:03:48,snr_adx,CLOSE BUY,981.62,55,1.1939405399999583,10008.37400715
2025-10-05 19:03:48,snr_adx,CLOSE BUY,981.62,55,0.836480360000051,10008.37400715
2025-10-05 19:03:48,snr_adx,CLOSE BUY,981.62,55,1.2245916000000465,10008.37400715
2025-10-05 19:03:48,snr_adx,OPEN BUY,981.62,55,0,10008.37400715
2025-10-05 19:03:50,snr_adx,OPEN BUY,981.46,55,0,10008.37400715
2025-10-05 19:03:52,snr_adx,OPEN BUY,981.6,55,0,10008.37400715
